Date,AMZN,MSFT,GOOGL
2016-01-04,636.73,54.79,759.41
2016-01-05,633.79,55.05,761.52
2016-01-06,632.81,54.075,759.3
2016-01-07,607.84,52.19,741.0
2016-01-08,607.23,52.33,730.92
2016-01-11,617.74,52.3,733.17
2016-01-12,617.89,52.77,745.34
2016-01-13,581.99,51.66,719.57
2016-01-14,593.0,53.06,731.29
2016-01-15,570.0,50.98,710.45
2016-01-19,574.48,50.56,719.02
2016-01-20,571.59,50.78,718.56
2016-01-21,574.95,50.45,726.67
2016-01-22,596.21,52.29,745.44
2016-01-25,596.55,51.77,733.61
2016-01-26,601.25,52.18,734.1
2016-01-27,583.52,51.21,717.58
2016-01-28,635.54,52.06,748.3
2016-01-29,585.63,55.05,759.42
2016-02-01,574.99,54.67,770.19
2016-02-02,551.75,53.0,780.6
2016-02-03,530.79,52.17,749.53
2016-02-04,536.24,52.0,730.03
2016-02-05,502.01,50.16,703.71
2016-02-08,488.33,49.39,704.17
2016-02-09,482.06,49.28,700.83
2016-02-10,490.5,49.69,707.18
2016-02-11,503.54,49.64,705.58
2016-02-12,506.95,50.5,706.63
2016-02-16,521.11,51.09,717.65
2016-02-17,534.1,52.42,731.71
2016-02-18,525.0,52.19,717.52
2016-02-19,534.88,51.81,722.11
2016-02-22,559.49,52.64,729.17
2016-02-23,552.87,51.18,717.25
2016-02-24,554.04,51.355,720.89
2016-02-25,555.14,52.1,729.09
2016-02-26,555.16,51.28,724.86
2016-02-29,552.88,50.77,717.23
2016-03-01,579.03,52.58,742.17
2016-03-02,580.22,52.95,739.48
2016-03-03,577.47,52.35,731.59
2016-03-04,575.14,52.03,730.22
2016-03-07,562.8,51.02,712.94
2016-03-08,560.26,51.65,713.54
2016-03-09,559.48,52.83,725.41
2016-03-10,558.93,52.05,732.16
2016-03-11,569.59,53.07,744.82
2016-03-14,573.38,53.17,750.22
2016-03-15,577.02,53.59,750.57
2016-03-16,574.333,54.35,757.56
2016-03-17,559.43,54.69,758.48
2016-03-18,552.11,53.49,755.79
2016-03-21,553.98,53.86,762.0
2016-03-22,560.66,54.09,760.04
2016-03-23,569.62,53.98,757.55
2016-03-24,582.95,54.21,754.84
2016-03-28,579.87,53.54,753.3
2016-03-29,593.93,54.72,765.76
2016-03-30,598.7,55.05,768.31
2016-03-31,593.66,55.23,762.91
2016-04-01,598.5,55.57,769.66
2016-04-04,593.19,55.43,765.13
2016-04-05,586.14,54.56,758.56
2016-04-06,602.29,55.13,768.07
2016-04-07,591.43,54.45,760.09
2016-04-08,594.6,54.42,759.47
2016-04-11,595.92,54.31,757.53
2016-04-12,603.4,54.65,764.42
2016-04-13,615.2,55.35,771.9
2016-04-14,620.75,55.36,775.38
2016-04-15,625.98,55.64,780.0
2016-04-18,635.39,56.45,787.68
2016-04-19,627.85,56.4,776.04
2016-04-20,632.99,55.6,774.99
2016-04-21,631.0,55.7875,780.95
2016-04-22,620.51,51.77,737.76
2016-04-25,626.2,52.12,742.6
2016-04-26,616.88,51.44,725.39
2016-04-27,606.57,50.94,721.46
2016-04-28,603.28,49.89,705.03
