Date,ETH
8/20/17,298.4
8/21/17,319.31
8/22/17,312.22
8/23/17,315.61
8/24/17,323.84
8/25/17,329
8/26/17,332.38
8/27/17,347.55
8/28/17,346.68
8/29/17,372.37
8/30/17,383.03
8/31/17,387.95
9/1/17,390
9/2/17,351.5
9/3/17,350.62
9/4/17,300
9/5/17,316.54
9/6/17,337.36
9/7/17,335.35
9/8/17,305.86
9/9/17,303.81
9/10/17,298
9/11/17,297.32
9/12/17,293.85
9/13/17,275.25
9/14/17,223.4
9/15/17,257.36
9/16/17,253.08
9/17/17,257.1
9/18/17,298
9/19/17,282.62
9/20/17,283.51
9/21/17,258.25
9/22/17,262.89
9/23/17,285.58
9/24/17,283.58
9/25/17,294.94
9/26/17,288.94
9/27/17,310.35
9/28/17,302.42
9/29/17,291.57
9/30/17,301.35
10/1/17,302.92
10/2/17,296.97
10/3/17,292.21
10/4/17,291.79
10/5/17,294.61
10/6/17,307.52
10/7/17,311
10/8/17,308.65
10/9/17,295.94
10/10/17,298.06
10/11/17,303.25
10/12/17,302.71
10/13/17,336.87
10/14/17,338.04
10/15/17,335.21
10/16/17,333.59
10/17/17,316.6
10/18/17,314.1
10/19/17,308.17
10/20/17,302.4
10/21/17,299.1
10/22/17,294.07
10/23/17,285.03
10/24/17,297.13
10/25/17,296.57
10/26/17,295.63
10/27/17,296.23
10/28/17,293.25
10/29/17,303.59
10/30/17,306.73
10/31/17,303.26
11/1/17,289.3
11/2/17,284.83
11/3/17,305.28
11/4/17,300.55
11/5/17,294.6
11/6/17,296.62
11/7/17,292.79
11/8/17,307.88
11/9/17,321.32
11/10/17,298.66
11/11/17,315.76
11/12/17,306.2
11/13/17,316.14
11/14/17,335.54
11/15/17,331.87
11/16/17,329.91
11/17/17,331.25
11/18/17,346.96
11/19/17,354.48
11/20/17,366
11/21/17,359.6
11/22/17,380.88
11/23/17,406.75
11/24/17,471.17
11/25/17,463
11/26/17,467
11/27/17,474.67
11/28/17,464.95
11/29/17,423.9
11/30/17,435.09
12/1/17,460.3
12/2/17,456.04
12/3/17,463
12/4/17,467.83
12/5/17,455.76
12/6/17,415.83
12/7/17,411.03
12/8/17,440.27
12/9/17,456.38
12/10/17,425.07
12/11/17,503.47
12/12/17,620.59
12/13/17,694.5
12/14/17,689.7
12/15/17,676.36
12/16/17,684
12/17/17,706.93
12/18/17,787.28
12/19/17,817.72
12/20/17,797.1
12/21/17,783.8
12/22/17,669.36
12/23/17,699.86
12/24/17,686.96
12/25/17,724
12/26/17,751.09
12/27/17,738.78
12/28/17,717.23
12/29/17,732.67
12/30/17,698.46
12/31/17,743.48
1/1/18,752.78
1/2/18,858.6
1/3/18,940.4
1/4/18,940
1/5/18,966
1/6/18,1004.27
1/7/18,1117.96
1/8/18,1130
1/9/18,1287.47
1/10/18,1241.89
1/11/18,1135
1/12/18,1258.68
1/13/18,1384.78
1/14/18,1359.59
1/15/18,1276.71
1/16/18,1057.88
1/17/18,1027.53
1/18/18,1024.69
1/19/18,1036.03
1/20/18,1150
1/21/18,1049.09
1/22/18,997.21
1/23/18,983.7
1/24/18,1065
1/25/18,1050
1/26/18,1051.81
1/27/18,1115.51
1/28/18,1229.41
1/29/18,1168
1/30/18,1051.54
1/31/18,1110.14
2/1/18,1022.08
2/2/18,918.39
2/3/18,969.93
2/4/18,826.51
2/5/18,692.36
2/6/18,784.01
2/7/18,752.89
2/8/18,812.01
2/9/18,875.1
2/10/18,851.83
2/11/18,809.69
2/12/18,865.57
2/13/18,841.82
2/14/18,922.98
2/15/18,927.91
2/16/18,939.99
2/17/18,977.74
2/18/18,912.85
2/19/18,938.05
2/20/18,884.24
2/21/18,837.98
2/22/18,803.57
2/23/18,851.98
2/24/18,835.74
2/25/18,842.65
2/26/18,868.4
2/27/18,870.32
2/28/18,850.16
3/1/18,869.01
3/2/18,856.08
3/3/18,853.76
3/4/18,862.28
3/5/18,848
3/6/18,813.09
3/7/18,750.42
3/8/18,698.06
3/9/18,726.13
3/10/18,682.87
3/11/18,720.38
3/12/18,695.5
3/13/18,690.01
3/14/18,613.07
3/15/18,611.02
3/16/18,599.87
3/17/18,550.1
3/18/18,538
3/19/18,555.68
3/20/18,557.41
3/21/18,560.52
3/22/18,539.76
3/23/18,543.03
3/24/18,519.99
3/25/18,521.99
3/26/18,485.79
3/27/18,449.41
3/28/18,446.49
3/29/18,383.07
3/30/18,393.46
3/31/18,393.79
4/1/18,378
4/2/18,384.47
4/3/18,415.32
4/4/18,378.99
4/5/18,381.05
4/6/18,370.08
4/7/18,384.66
4/8/18,399.81
4/9/18,399
4/10/18,415.65
4/11/18,430
4/12/18,494.31
4/13/18,495.95
4/14/18,503.41
4/15/18,533.83
4/16/18,510.57
4/17/18,502.8
4/18/18,525.2
4/19/18,566.46
4/20/18,617.7
4/21/18,604.85
