Date,LTC
6/28/17,42.04
6/29/17,40.5
6/30/17,39.88
7/1/17,38.1
7/2/17,41.42
7/3/17,45.47
7/4/17,55.01
7/5/17,52.66
7/6/17,50.92
7/7/17,46.17
7/8/17,50.7
7/9/17,48.31
7/10/17,44.8
7/11/17,44.19
7/12/17,47.25
7/13/17,45.68
7/14/17,42.52
7/15/17,38.14
7/16/17,40.35
7/17/17,42.6
7/18/17,43.5
7/19/17,40.44
7/20/17,45.06
7/21/17,45.45
7/22/17,46.87
7/23/17,45.29
7/24/17,44.95
7/25/17,42.02
7/26/17,41.8
7/27/17,41.65
7/28/17,40.25
7/29/17,40.54
7/30/17,39.86
7/31/17,42.11
8/1/17,43.16
8/2/17,41.69
8/3/17,42.5
8/4/17,42.99
8/5/17,46.24
8/6/17,45.25
8/7/17,45.73
8/8/17,48.65
8/9/17,47.68
8/10/17,46.75
8/11/17,46.87
8/12/17,46.23
8/13/17,45.05
8/14/17,45.3
8/15/17,42.86
8/16/17,43.95
8/17/17,43.77
8/18/17,46.85
8/19/17,44.98
8/20/17,45.63
8/21/17,47.66
8/22/17,46.29
8/23/17,52.89
8/24/17,49.83
8/25/17,50.95
8/26/17,51.46
8/27/17,60.21
8/28/17,62.29
8/29/17,63.53
8/30/17,65.43
8/31/17,73.06
9/1/17,87.55
9/2/17,79.34
9/3/17,78.48
9/4/17,67.82
9/5/17,73.33
9/6/17,81.4
9/7/17,80.42
9/8/17,73.34
9/9/17,70.85
9/10/17,66.66
9/11/17,68.42
9/12/17,65.8
9/13/17,61.85
9/14/17,45.41
9/15/17,51.93
9/16/17,51.82
9/17/17,50.69
9/18/17,56.23
9/19/17,52.68
9/20/17,51.42
9/21/17,45.63
9/22/17,47.72
9/23/17,49.23
9/24/17,47.68
9/25/17,52.09
9/26/17,52.09
9/27/17,56.97
9/28/17,54.94
9/29/17,52.82
9/30/17,55.15
10/1/17,54.28
10/2/17,53.23
10/3/17,52.04
10/4/17,51.21
10/5/17,51.74
10/6/17,52
10/7/17,52.54
10/8/17,53.03
10/9/17,50.03
10/10/17,50.46
10/11/17,50.74
10/12/17,59.67
10/13/17,58.98
10/14/17,63.63
10/15/17,65.64
10/16/17,64.63
10/17/17,59.19
10/18/17,60.39
10/19/17,59.55
10/20/17,60.01
10/21/17,57.95
10/22/17,56.49
